Name,Ra,ra_Uncert,Dec,dec_Uncert,Ext,Ext_Uncert,K,K_Uncert,index,index_Uncert,TS,alpha,alpha_Uncert,beta,beta_Uncert,PS,Experiment
J1848-0140,282.1103,0.0206,-1.6673,0.0264,0.4329,0.0156,1.3650e-21,9.4200e-23, , ,269.0521,-2.0258,0.0461,0.1893,0.0124,False,4HWC
J1958+2851,299.5978,0.0396,28.8532,0.0343,0.3264,0.0279,2.1600e-22,3.2690e-23,-2.3366,0.0498,268.949, , , , ,False,4HWC
J1813-1244,273.3559,0.023,-12.7454,0.0262,0.2281,0.0923,7.0130e-22,4.4020e-22,-2.5878,0.0996,266.681, , , , ,False,4HWC
J1846-0235,281.6718,0.0,-2.597,0.0,0.296,0.0,7.8350e-22,7.6490e-25,-2.7833,0.0001,236.612, , , , ,False,4HWC
J1858+0344,284.7351,0.0004,3.7369,0.0004,0.6314,0.0002,1.3920e-21,1.4240e-24,-2.6795,0.0003,228.2398, , , , ,False,4HWC
J1908+0616,287.0547,0.0002,6.2742,0.0003,0.3911,0.0,9.9560e-22,1.7170e-25, , ,227.2463,-1.6394,0.0001,0.1777,0.0,False, 4HWC
J2022+3715,305.6872,0.2868,37.2557,0.1698,1.6099,0.1154,1.9310e-21,2.1040e-22,-2.6707,0.0455,200.434, , , , ,False,4HWC
J1847+0051,281.7743,0.2308,-0.8658,0.2792,2.8347,0.1073,4.6800e-21,3.1720e-22,-2.9262,0.035,190.6638, , , , ,False,4HWC
J1952+2925,298.1082,0.0279,29.4203,0.025,0.1786,0.0208,2.0390e-22,2.5750e-23,-2.5342,0.0531,189.857, , , , ,False,4HWC
J1953+2837,298.4977,0.0308,28.6186,0.0275,0.1965,0.0294,1.9690e-23,2.2460e-23, , ,185.646,-0.0459,0.4408,0.5398,0.0288,False,4HWC
J0615+2214,93.789,0.0946,22.2448,0.1031,1.0998,0.5147,7.2520e-22,7.3260e-22,-2.5374,0.2554,181.143, , , , ,False,4HWC
J1918+1343,289.7284,0.0001,13.7217,0.0001,1.4425,0.0,1.3200e-21,2.4430e-25,-2.727,0.0,174.929, , , , ,False,4HWC
J0622+3759,95.5596,0.0913,37.9929,0.0727,0.5051,0.0726,5.6400e-25,4.7640e-25, , ,169.5976,3.0,0.0001,1.0484,0.0579,False,4HWC
J1914+1151,288.6751,1.8889,11.8508,0.0003,0.0964,0.0,1.4790e-22,3.1590e-26,-2.4502,0.0,166.697, , , , ,False,4HWC
J1915+1113,288.8571,0.0001,11.2303,0.0006,0.3961,0.0,3.7120e-22,7.4840e-26,-2.5646,0.0,164.287, , , , ,False,4HWC
J1804-2133,271.0988,0.0309,-21.5569,0.0302,0.1912,0.0266,1.9350e-21,2.5070e-22,-2.8784,0.0552,163.858, , , , ,False,4HWC
J2020+4032,305.153,0.0549,40.54,0.0423,0.2886,0.0326,5.6210e-22,8.5540e-23,-2.9002,0.0646,161.724, , , , ,False,4HWC
J1826-1445,276.5318,0.0178,-14.7645,0.0228,0.114,0.0219,6.7910e-22,7.0750e-23,-2.6903,0.0414,155.724, , , , ,False,4HWC
J0634+0628,98.5562,0.0595,6.4808,0.0737,0.4625,0.1022,3.0480e-22,5.0750e-22,-2.4499,0.4525,150.2881, , , , ,False,4HWC
J1819-1526,274.8089,0.0542,-15.4366,0.0653,0.3572,0.0901,1.1910e-21,1.1040e-21,-2.7316,0.2748,149.354, , , , ,False,4HWC
J1937+2143,294.3564,0.1053,21.7304,0.1174,1.1461,0.0566,7.5010e-22,5.0220e-23,-2.6618,0.031,124.519, , , , ,False,4HWC
J2005+3056,301.474,0.045,30.9338,0.0385,0.2468,0.0335,1.5160e-22,8.1760e-23,-2.4327,0.1831,124.044, , , , ,False,4HWC
J1819-2601,274.9183,0.0428,-26.0277,0.0566,0.2552,0.034,4.4970e-22,1.8310e-22,-2.2329,0.1088,122.643, , , , ,False,4HWC
J0341+5258,55.4882,0.0544,52.9791,0.0338,0.1842,0.031,1.5280e-22,4.0820e-22,-2.2941,0.4999,121.87, , , , ,False,4HWC
J1952+2610,298.0113,0.1478,26.1797,0.1622,0.9902,0.0909,6.6060e-22,9.0920e-23,-2.6861,0.0558,106.235, , , , ,False,4HWC
J1800-2345,270.1362,0.1695,-23.7542,0.1974,1.0144,0.2684,4.0610e-21,4.4990e-21,-2.6896,0.267,105.883, , , , ,False,4HWC
J1954+3253,298.6106,0.0551,32.8902,0.031,0.188,0.0306,2.0080e-22,3.9880e-23,-2.6512,0.0826,105.408, , , , ,False,4HWC
J1910+0503,287.6247,0.0001,5.0616,0.0006,0.0, ,6.7450e-23,1.3770e-26,-2.2822,0.0,100.7689, , , , ,True, 4HWC
J0631+1036,97.7877,0.0625,10.609,0.0516,0.3515,0.0559,1.2930e-22,2.3380e-22,-2.2878,0.3622,90.872, , , , ,False,4HWC
J2234+5904,338.6249,0.159,59.0774,0.1036,0.6488,0.0622,4.8330e-23,7.9870e-23, , ,90.087,0.7104,0.5086,0.7042,0.0212,False,4HWC
J1740+0950,265.0447,0.0265,9.8464,0.0192,0.0, ,3.6150e-23,1.4140e-22,-2.2041,0.7164,88.9623, , , , ,True,4HWC
J1819-2513,274.8531,0.0356,-25.23,0.0231,0.0, ,8.8960e-23,2.3790e-22,-1.9925,0.4196,83.828, , , , ,True,4HWC
J1913+0457,288.3671,0.0001,4.9582,0.0001,0.0, ,4.9870e-23,1.0660e-26,-2.2698,0.0,77.2092, , , , ,True, 4HWC
J1931+1655,292.8102,0.0301,16.9174,0.0351,0.1794,0.0241,1.2570e-22,1.8050e-23,-2.5301,0.0579,76.664, , , , ,False,4HWC
J2108+5156,317.1474,0.0557,51.937,0.0207,0.0, ,1.1650e-22,4.4980e-22,-2.4385,0.7122,73.305, , , , ,True,4HWC
J0533+3534,83.4398,0.0235,35.5717,0.0212,0.0, ,5.0380e-23,2.2900e-22,-2.3823,0.8415,60.9069, , , , ,True,4HWC
J1932+1917,293.1054,0.0309,19.3,0.0182,0.0, ,8.7320e-23,1.9320e-22,-2.6644,0.6209,59.276, , , , ,True,4HWC
J2026+3327,306.6103,0.106,33.465,0.0522,0.2553,0.0525,1.4720e-22,4.9990e-23,-2.5846,0.1269,53.505, , , , ,False,4HWC
J2043+4353,310.8166,0.6008,43.8998,0.2153,0.8714,0.1475,5.8060e-22,1.6410e-21,-2.6101,0.6164,51.7797, , , , ,False,4HWC
J1745-2859,266.2652,0.0644,-28.9838,0.0395,0.0, ,2.8050e-21,6.1700e-21,-2.9495,0.7658,48.2097, , , , ,True,4HWC
J2015+3708,303.9941,0.0423,37.1363,0.0229,0.0, ,8.9060e-23,2.1320e-22,-2.624,0.6952,48.013, , , , ,True,4HWC
J1858+0752,284.5097,0.0001,7.8791,1.9465,0.0, ,4.8590e-23,1.0220e-26,-2.3991,0.0,43.5499, , , , ,True,4HWC
J1930+1852,292.5899,0.1018,18.8831,0.0688,0.0311,0.0239,8.1350e-23,1.9880e-22,-2.6385,0.1247,32.739, , , , ,False,4HWC
J0856+2910,134.1213,0.0648,29.1802,0.0256,0.0, ,9.0560e-23,1.4070e-22,-2.95,0.9088,31.4974, , , , ,True,4HWC
J1230+1223,187.667,0.0375,12.386,0.0223,0.0, ,5.9380e-23,1.1260e-22,-2.632,0.599,30.7193, , , , ,True,4HWC
J0347-1405,56.8204,0.3492,-14.088,0.0791,0.0, ,3.2760e-22,8.4390e-23,-3.4983,0.0631,29.7874, , , , ,True,4HWC
J0538+2804,84.5783,0.0829,28.0814,0.0251,0.0, ,7.3150e-23,1.4770e-22,-2.8668,0.9415,26.5242, , , , ,True,4HWC
J1906+0613,286.5514,0.0001,6.2252,0.0001,1.216,0.0,4.2960e-21,6.4110e-25, , ,25.01,-2.4714,0.0001,0.0763,0.0,False,4HWC
